initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
2,52,0,2,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
2,52,0,2,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
3,51,0,3,0,0
1,53,0,1,0,0
2,52,0,2,0,0
2,52,0,2,0,0
2,52,0,2,0,0
2,52,0,2,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
3,51,0,3,0,0
2,52,0,2,0,0
2,52,0,2,0,0
0,54,0,0,0,0
2,52,0,2,0,0
2,53,1,0,0,0.0185185
2,52,0,2,0,0
5,49,0,5,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
1,53,0,1,0,0
1,53,0,1,0,0
2,52,0,2,0,0
3,51,0,3,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
5,50,1,3,0,0.0185185
1,53,0,1,0,0
5,49,0,5,0,0
1,53,0,1,0,0
4,50,0,4,0,0
0,54,0,0,0,0
3,51,0,3,0,0
3,51,0,3,0,0
3,51,0,3,0,0
3,51,0,3,0,0
4,51,1,2,0,0.0185185
3,51,0,3,0,0
4,50,0,4,0,0
4,51,1,2,0,0.0185185
4,50,0,4,0,0
9,45,0,9,0,0
4,50,0,4,0,0
3,51,0,3,0,0
2,52,0,2,0,0
1,53,0,1,0,0
4,50,0,4,0,0
2,52,0,2,0,0
4,50,0,4,0,0
8,46,0,8,0,0
1,53,0,1,0,0
2,52,0,2,0,0
6,49,1,4,0,0.0185185
1,53,0,1,0,0
6,48,0,6,0,0
5,49,0,5,0,0
2,53,1,0,0,0.0185185
3,51,0,3,0,0
6,48,0,6,0,0
2,52,0,2,0,0
7,47,0,7,0,0
5,49,0,5,0,0
4,50,0,4,0,0
4,50,0,4,0,0
4,50,0,4,0,0
2,52,0,2,0,0
7,48,1,5,0,0.0185185
3,51,0,3,0,0
3,51,0,3,0,0
9,46,1,7,0,0.0185185
4,50,0,4,0,0
11,44,1,9,0,0.0185185
4,50,0,4,0,0
8,47,1,6,0,0.0185185
6,48,0,6,0,0
4,50,0,4,0,0
5,49,0,5,0,0
3,51,0,3,0,0
7,47,0,7,0,0
