initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,NORA_successPre,NORA_not ULgrant
0,54,0,0,0,0,0,0
1,53,0,1,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
2,52,0,2,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,0,0
1,53,0,1,0,0,0,0
0,54,0,0,0,0,0,0
3,51,0,3,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
4,51,0,3,0,0,1,0
1,53,0,1,0,0,0,0
2,52,0,2,0,0,0,0
1,53,0,1,0,0,0,0
2,52,0,2,0,0,0,0
6,48,0,6,0,0,0,0
2,52,0,2,0,0,0,0
7,48,0,6,0,0,1,0
3,52,0,2,0,0,1,0
7,48,0,6,0,0,1,0
3,51,0,3,0,0,0,0
5,50,0,4,0,0,1,0
5,50,0,4,0,0,1,0
2,52,0,2,0,0,0,0
5,50,0,4,0,0,1,0
5,49,0,5,0,0,0,0
3,51,0,3,0,0,0,0
4,50,0,4,0,0,0,0
6,48,0,6,0,0,0,0
6,48,0,6,0,0,0,0
7,47,0,7,0,0,0,0
4,50,0,4,0,0,0,0
5,50,0,4,0,0,1,0
7,48,0,6,0,0,1,0
6,49,0,5,0,0,1,0
7,48,0,6,0,0,1,0
8,46,0,8,0,0,0,0
7,48,0,6,0,0,1,0
7,47,0,7,0,0,0,0
5,49,0,5,0,0,0,0
7,48,0,6,0,0,1,0
10,45,0,9,0,0,1,0
6,49,0,5,0,0,1,0
6,48,0,6,0,0,0,0
11,44,0,10,0,0,1,0
3,51,0,3,0,0,0,0
5,49,0,5,0,0,0,0
12,45,0,9,0,0,3,0
6,48,0,6,0,0,0,0
10,46,0,8,0,0,2,0
11,44,0,10,0,0,1,0
11,43,0,11,0,0,0,0
15,40,0,14,0,0,1,0
10,45,0,9,0,0,1,0
12,42,0,12,0,0,0,0
12,43,0,11,0,0,1,0
12,44,0,10,0,0,2,0
11,44,0,10,0,0,1,0
16,40,0,14,0,0,2,0
11,44,0,10,0,0,1,0
10,45,0,9,0,0,1,0
15,40,0,14,0,0,1,0
15,42,0,12,0,0,3,0
