1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11
1,1,1,0,0,0,0,3,0,0,2,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0,1,1,0,2,1,0,0,29
0,0,3,1,1,1,1,0,2,0,1,1,0,2,1,0,1,1,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,2,35
0,1,0,0,1,1,2,0,0,0,1,1,0,4,0,0,0,1,2,0,2,1,2,2,1,1,0,0,1,2,4,5,0,2,3,2,2,1,0,1,0,2,0,5,1,1,0,0,1,2,58
1,1,2,1,1,1,1,1,1,1,2,1,1,2,0,1,2,2,3,1,3,3,1,0,0,1,0,0,3,1,1,2,0,1,1,3,0,1,2,1,2,2,1,0,0,1,0,0,2,1,59
1,4,2,0,0,1,1,2,3,5,0,0,4,3,0,1,1,1,1,3,0,1,2,2,4,0,2,1,3,1,2,3,1,1,0,2,5,1,1,1,3,0,1,2,1,1,0,2,1,0,77
2,3,2,0,1,1,1,2,2,3,3,1,1,3,2,1,1,2,0,3,1,3,3,1,3,1,4,4,1,1,1,1,3,4,1,4,1,0,2,2,3,1,2,1,1,2,0,1,2,1,89
1,1,3,1,4,3,1,4,3,2,3,6,1,4,5,3,4,3,4,3,3,0,2,2,2,1,4,5,0,4,2,1,4,5,3,1,2,6,1,2,1,2,4,6,0,0,2,2,5,2,133
0,5,4,4,4,3,2,5,0,0,0,3,2,1,3,7,3,5,0,2,4,4,3,3,4,2,3,1,3,4,7,7,4,3,3,3,3,1,1,5,3,1,3,5,1,4,2,1,1,2,144
1,3,5,3,3,5,2,2,4,6,1,0,2,2,4,3,4,2,4,3,1,2,3,5,2,1,1,0,6,2,1,4,2,4,4,2,3,4,3,9,6,3,5,3,2,3,1,4,3,3,151
3,4,4,2,1,2,5,0,3,6,3,4,3,6,4,5,6,6,1,8,2,3,2,1,4,7,8,5,6,2,2,1,5,2,4,1,1,3,2,5,1,5,3,2,2,4,6,2,3,5,175
5,10,3,4,3,6,6,2,5,2,4,4,5,4,7,3,1,4,2,8,2,3,5,2,5,1,1,6,3,6,5,8,1,3,0,4,7,4,2,1,5,6,4,6,5,4,4,8,1,3,203
7,3,6,2,7,8,6,6,5,7,6,5,7,5,3,4,7,6,5,3,7,7,6,3,6,3,5,9,0,6,7,8,4,0,7,4,5,4,9,8,1,3,7,5,8,2,4,2,6,4,258
7,2,6,6,6,6,12,4,2,7,5,9,3,5,5,8,4,3,5,6,8,6,7,7,5,5,2,4,4,5,3,3,4,4,9,3,7,7,7,4,6,3,6,1,2,1,4,5,8,4,255
7,7,3,5,8,5,11,4,3,5,6,7,4,11,4,7,7,5,5,2,4,8,4,7,5,6,3,3,7,12,7,7,3,2,7,7,5,6,7,7,7,8,1,6,4,7,4,3,5,6,284
9,10,10,9,5,8,7,5,7,7,11,8,4,7,7,6,7,5,6,8,7,6,10,8,10,4,7,7,8,5,6,6,11,5,9,6,9,3,5,7,3,7,5,11,10,4,6,7,7,5,350
4,5,5,6,11,9,7,4,4,8,7,13,6,4,9,3,11,6,4,9,11,4,8,11,4,7,9,4,8,7,13,5,5,9,8,1,3,8,8,10,5,11,8,12,2,5,10,5,11,8,355
